
(178, 2, '120', '90.0', 840, 2, 0, '04  DE   ENERO   2021', '0', 'Almacen', '4', '1', '250 B.RCT')
(179, 2, '120', '160.0', 1530, 2, 0, '04  DE   ENERO   2021', '1138', 'Almacen', '4', '1', '250 B.RCT')
(180, 2, '120', '90.0', 850, 2, 0, '04  DE   ENERO   2021', '0', 'Almacen', '4', '1', '250 B.RCT')
(181, 2, '120', '160.0', 1545, 2, 0, '04  DE   ENERO   2021', '1138', 'Almacen', '4', '1', '250 B.RCT')
(182, 2, '120', '90.0', 820, 2, 1, '04  DE   ENERO   2021', '0', 'Almacen', '4', '1', '250 B.RCT')
(183, 2, '120', '160.0', 1505, 2, 1, '04  DE   ENERO   2021', '1138', 'Almacen', '4', '1', '250 B.RCT')
(184, 2, '120', '90.0', 820, 2, 0, '04  DE   ENERO   2021', '0', 'Almacen', '4', '1', '250.0')
(185, 2, '120', '160.0', 1495, 2, 0, '04  DE   ENERO   2021', '1138', 'Almacen', '4', '1', '250.0')

(186, 2, '115', '140.0', 1325, 2, 0, '04  DE   ENERO   2021', '1075', 'Almacen', '3', '2', '250.0')
(187, 2, '115', '80.0', 745, 2, 0, '04  DE   ENERO   2021', '1075', 'Almacen', '3', '2', '250.0')
(188, 2, '115', '140.0', 1320, 2, 0, '04  DE   ENERO   2021', '1075', 'Almacen', '3', '2', '250.0')
(189, 2, '115', '80.0', 735, 2, 0, '04  DE   ENERO   2021', '1075', 'Almacen', '3', '2', '250.0')
(190, 2, '115', '140.0', 1330, 2, 0, '04  DE   ENERO   2021', '1075', 'Almacen', '3', '2', '250 B.RCT')
(191, 2, '115', '80.0', 755, 2, 0, '04  DE   ENERO   2021', '1075', 'Almacen', '3', '2', '250 B.RCT')
(192, 2, '115', '140.0', 1335, 2, 0, '04  DE   ENERO   2021', '1075', 'Almacen', '3', '2', '250 B.RCT')
(193, 2, '115', '80.0', 750, 2, 0, '04  DE   ENERO   2021', '1075', 'Almacen', '3', '2', '250 B.RCT')
(194, 2, '115', '140.0', 1260, 2, 2, '04  DE   ENERO   2021', '1075', 'Almacen', '3', '2', '250 B.RCT')
(195, 2, '115', '80.0', 705, 2, 2, '04  DE   ENERO   2021', '1075', 'Almacen', '3', '2', '250 B.RCT-MBC')
(196, 2, '115', '140.0', 1130, 2, 0, '04  DE   ENERO   2021', '1075', 'Almacen', '3', '2', '250 B.RCT')
(197, 2, '115', '80.0', 635, 2, 0, '04  DE   ENERO   2021', '1075', 'Almacen', '3', '2', '250 B.RCT-MBC-DFE')
(198, 2, '115', '140.0', 1290, 2, 0, '04  DE   ENERO   2021', '1075', 'Almacen', '3', '2', '250 B.RCT')
(199, 2, '115', '80.0', 725, 2, 0, '04  DE   ENERO   2021', '1075', 'Almacen', '3', '2', '250 B.RCT-MBC')
(200, 2, '120', '100.0', 965, 2, 0, '04  DE   ENERO   2021', '2005', 'Almacen', '3', '2', '250.0')
(201, 2, '120', '100.0', 980, 2, 0, '04  DE   ENERO   2021', '2005', 'Almacen', '3', '2', '250.0')
(202, 2, '120', '100.0', 980, 2, 0, '04  DE   ENERO   2021', '2005', 'Almacen', '3', '2', '250 B.RCT-MBC')
(203, 2, '120', '100.0', 990, 2, 0, '04  DE   ENERO   2021', '2005', 'Almacen', '3', '2', '250.0')
(204, 2, '120', '100.0', 965, 2, 0, '04  DE   ENERO   2021', '2005', 'Almacen', '3', '2', '250 B.RCT-MBC')
(205, 2, '120', '100.0', 975, 2, 0, '04  DE   ENERO   2021', '2005', 'Almacen', '3', '2', '250.0')
(206, 2, '120', '100.0', 970, 2, 0, '04  DE   ENERO   2021', '2005', 'Almacen', '3', '2', '250 B.RCT-MBC')
(207, 2, '120', '100.0', 980, 2, 0, '04  DE   ENERO   2021', '2005', 'Almacen', '3', '2', '250.0')
(208, 2, '120', '100.0', 975, 2, 0, '04  DE   ENERO   2021', '2005', 'Almacen', '3', '2', '250 B.RCT-MBC')
(209, 2, '120', '100.0', 990, 2, 0, '04  DE   ENERO   2021', '2005', 'Almacen', '3', '2', '250.0')
(210, 2, '120', '100.0', 990, 2, 0, '04  DE   ENERO   2021', '2005', 'Almacen', '3', '2', '250 B.RCT-MBC')
(211, 2, '120', '100.0', 1000, 2, 0, '04  DE   ENERO   2021', '2005', 'Almacen', '3', '2', '250.0')
(212, 2, '120', '100.0', 1000, 2, 0, '04  DE   ENERO   2021', '2005', 'Almacen', '3', '2', '250 B.RCT-MBC')
(213, 2, '120', '100.0', 1010, 2, 0, '04  DE   ENERO   2021', '2005', 'Almacen', '3', '2', '250.0')
(214, 2, '120', '200.0', 2000, 2, 0, '04  DE   ENERO   2021', '1050', 'Almacen', '3', '2', '250.0')

(215, 2, '120', '200.0', 2015, 2, 0, '04  DE   ENERO   2021', '1050', 'Almacen', '2', '3', '250.0')
(216, 2, '120', '200.0', 2010, 2, 0, '04  DE   ENERO   2021', '1050', 'Almacen', '2', '3', '250.0')
(217, 2, '120', '200.0', 1950, 2, 0, '04  DE   ENERO   2021', '1050', 'Almacen', '2', '3', '250.0')
(218, 2, '120', '200.0', 1960, 2, 0, '04  DE   ENERO   2021', '1050', 'Almacen', '2', '3', '250.0')
(219, 2, '120', '200.0', 1960, 2, 0, '04  DE   ENERO   2021', '1050', 'Almacen', '2', '3', '250.0')
(220, 2, '120', '200.0', 1995, 2, 0, '04  DE   ENERO   2021', '1050', 'Almacen', '2', '3', '250.0')
(221, 2, '120', '200.0', 2000, 2, 0, '04  DE   ENERO   2021', '1050', 'Almacen', '2', '3', '250.0')
(222, 2, '120', '200.0', 1995, 2, 0, '04  DE   ENERO   2021', '1050', 'Almacen', '2', '3', '250.0')
(223, 2, '120', '200.0', 1980, 2, 0, '04  DE   ENERO   2021', '1050', 'Almacen', '2', '3', '250.0')
